artist;song;duration_ms
The Rasmus;In the Shadows;257920
Houston;I Like That;236520
Beyoncé;Naughty Girl;208600
Linkin Park;Numb;185586
Lloyd Banks;On Fire;187280
Akon;Locked Up;235066
D12;My Band;298773
Jay Sean;Eyes On You - Radio Mix;190493
Mario Winans;I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;257333
Destiny's Child;Lose My Breath;242013
Eric Prydz;Call on Me - Radio Mix;171360
Ciara;Goodies (feat. Petey Pablo);223000
Kelis;Trick Me;206106
LL Cool J;Headsprung;267320
Spiderbait;Black Betty - Edit;205973
George Michael;Amazing;265826
Britney Spears;My Prerogative;213893
Nina Sky;Move Ya Body;232000
Baby Bash;Suga Suga;239026
Petey Pablo;Freek-A-Leek;235186
JAY-Z;Dirt Off Your Shoulder;245173
Juanes;La Camisa Negra;216706
Avril Lavigne;Nobody's Home;212413
Robbie Williams;Radio;233600
Black Eyed Peas;Hey Mama;214893
Ying Yang Twins;Salt Shaker;252440
Enrique Iglesias;Not In Love - Radio Mix;223133
Kelis;Milkshake;182626
Linkin Park;Breaking the Habit;196906
JoJo;Leave (Get Out) - Radio Edit;242746
Christina Milian;Dip It Low;197186
Avant;Read Your Mind;263506
Eminem;Just Lose It;248680
Sugababes;Too Lost In You;237693
Snoop Dogg;Drop It Like It's Hot;266066
Sean Paul;I'm Still in Love with You (feat. Sasha);273360
The Shapeshifters;Lola's Theme - Radio Edit;207066
D12;How Come;249533
Basement Jaxx;Good Luck;282306
Kevin Lyttle;Turn Me On;192106
Chingy;One Call Away;276800
T.I.;Bring Em Out;216706
DJ Casper;Cha Cha Slide - Hardino Mix;222146
Kylie Minogue;I Believe in You;200973
Twista;Overnight Celebrity;233360
N.E.R.D;She Wants To Move;213786
Britney Spears;Everytime;230306
U2;Vertigo;193520
Franz Ferdinand;Take Me Out;237026
J-Kwon;Tipsy - Club Mix;247106
G-Unit;Wanna Get To Know You;265026
Lil' Flip;Sunshine (feat. Lea);225173
Kanye West;Jesus Walks;193733
Evanescence;My Immortal;262533
Nelly;My Place;336506
Lemar;If There's Any Justice;229080
No Doubt;It's My Life;226053
Avril Lavigne;Don't Tell Me;202013
Twista;Slow Jamz;316053
Green Day;American Idiot;176346
Kelis;Millionaire;224933
Scissor Sisters;Comfortably Numb;266040
Alicia Keys;Diary (feat. Tony! Toni! Tone! & Jermaine Paul);284160
Kanye West;Through The Wire;221226
Special D.;Come With Me - Radio Edit;185133
Ludacris;Splash Waterfalls;290760
Avril Lavigne;My Happy Ending;242413
Dido;White Flag;240040
Eamon;Fuck It (I Don't Want You Back);225106
Beyoncé;Me, Myself and I;301133
3 Doors Down;Here Without You;238733
Kanye West;All Falls Down;223506
Twista;Sunshine (feat. Anthony Hamilton);226013
Katie Melua;The Closest Thing to Crazy;252466
Usher;My Boo;223440
Lloyd;Southside;277840
LMC;Take Me To The Clouds Above - LMC Vs. U2 / Radio Edit;171546
The Streets;Fit but You Know It;254266
JUVENILE;Slow Motion;248200
Outkast;The Way You Move (feat. Sleepy Brown);234000
Girls Aloud;Love Machine;205360
Jessica Simpson;With You;191826
Eminem;Like Toy Soldiers;296880
Gary Jules;Mad World (Feat. Michael Andrews);189506
Ashlee Simpson;Pieces Of Me;217440
Will Young;Leave Right Now;214733
Alicia Keys;You Don't Know My Name;366733
Mariah Carey;We Belong Together;201400
Mario;Let Me Love You;256733
Kanye West;Gold Digger;207626
Rihanna;Pon de Replay;246960
50 Cent;Candy Shop;209106
James Blunt;You're Beautiful;209493
Green Day;Boulevard of Broken Dreams;261266
The Pussycat Dolls;Don't Cha;272080
Daniel Powter;Bad Day;233640
Akon;Bananza (Belly Dancer);238493
Madonna;Hung Up;337733
50 Cent;Just A Lil Bit;237706
Crazy Frog;Axel F;168879
Eminem;Ass Like That;265480
Sean Paul;We Be Burnin';213066
Gwen Stefani;Rich Girl;236213
The Chemical Brothers;Galvanize;393813
Fort Minor;Remember the Name (feat. Styles of Beyond);230493
50 Cent;Disco Inferno;214226
The Game;How We Do;235533
Chris Brown;Run It! (feat. Juelz Santana);229866
Mariah Carey;It's Like That;203360
Black Eyed Peas;My Humps;326960
Ciara;Oh (feat. Ludacris);256346
50 Cent;Outta Control - Remix;247506
Baby Bash;Baby, I'm Back;219920
Jennifer Lopez;Get Right;225533
JAY-Z;Numb / Encore;205733
The Game;Hate It Or Love It;206400
Gorillaz;Feel Good Inc.;222640
Black Eyed Peas;Don't Phunk With My Heart;239773
Akon;Lonely;235800
Bodyrockers;I Like The Way - Radio Edit;200053
Sugababes;Push The Button;218093
Jeezy;Soul Survivor;280013
Eminem;Mockingbird;250760
Shakira;La Tortura (feat. Alejandro Sanz);212893
Gorillaz;DARE;244999
Snoop Dogg;Signs;236813
Robbie Williams;Tripping;276603
David Banner;Play;230133
Trillville;Some Cut;283454
D4L;Laffy Taffy;224253
Missy Elliott;Lose Control (feat. Ciara & Fat Man Scoop);226863
Rob Thomas;Lonely No More;226640
Brian McFadden;Almost Here;229826
Bobby V.;"Slow Down - 12"" Version";258666
Backstreet Boys;Incomplete;239586
Pretty Ricky;Grind With Me;237733
Kanye West;Diamonds From Sierra Leone - Remix;233400
Snoop Dogg;Drop It Like It's Hot;266066
Fat Joe;Get It Poppin' (feat. Nelly) - Radio Version;211320
Destiny's Child;Soldier (feat. T.I. & Lil' Wayne);325573
Ciara;1, 2 Step (feat. Missy Elliott) - Main;202213
Amerie;1 Thing;238746
Ludacris;Get Back;270746
Franz Ferdinand;Do You Want To;215000
Natalie Imbruglia;Shiver;222653
Gwen Stefani;Hollaback Girl;199853
Pretty Ricky;Your Body;240040
Thirty Seconds To Mars;The Kill;231533
Alicia Keys;Karma;256000
2Pac;Ghetto Gospel;238053
