artist;song;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo
Madonna;American Pie;0,631;0,734;5;-7,48;0;0,036;0,348;0;0,135;0,591;124,036
Red Hot Chili Peppers;Otherside;0,458;0,795;0;-3,265;1;0,0574;0,00316;0,000202;0,0756;0,513;123,229
Sammie;I Like It;0,826;0,656;9;-8,529;1;0,0617;0,0101;0,000113;0,0272;0,852;129,963
Craig David;7 Days;0,659;0,812;4;-7,499;0;0,0487;0,23;0;0,0951;0,888;83,014
Santana;Maria Maria (feat. The Product G&B);0,777;0,601;2;-5,931;1;0,126;0,0406;0,00201;0,0348;0,68;97,911
Kandi;Don't Think I'm Not;0,859;0,622;11;-8,196;1;0,0445;0,0661;0;0,0394;0,433;134,007
P!nk;There You Go;0,822;0,847;10;-6,729;0;0,0917;0,0854;0;0,0452;0,668;107,908
Vengaboys;Shalala Lala;0,751;0,901;2;-5,802;1;0,0328;0,0504;0,00308;0,0395;0,973;124,017
Ronan Keating;Life Is A Rollercoaster;0,655;0,791;0;-8,923;1;0,0302;0,1;0,000124;0,334;0,862;118,981
Madison Avenue;Don't Call Me Baby;0,808;0,982;3;-6,588;0;0,0311;0,0585;0,00689;0,35;0,961;124,999
Destiny's Child;Jumpin', Jumpin';0,771;0,685;1;-4,639;1;0,0567;0,00543;0,00157;0,0537;0,683;88,997
Céline Dion;That's the Way It Is;0,634;0,886;9;-5,424;1;0,0434;0,154;0;0,118;0,577;93,04
3 Doors Down;Kryptonite;0,545;0,865;11;-5,708;0;0,0286;0,00664;1,10E-05;0,168;0,543;99,009
Carl Thomas;I Wish;0,736;0,666;1;-4,929;1;0,0337;0,0593;3,82E-05;0,107;0,224;89,824
Mystikal;Shake Ya Ass;0,914;0,607;7;-5,658;1;0,32;0,0626;0;0,0515;0,666;98,054
Fuel;Hemorrhage (In My Hands);0,313;0,831;1;-3,894;1;0,0404;0,000127;0,000341;0,24;0,332;152,034
Donell Jones;Where I Wanna Be;0,664;0,396;5;-9,131;0;0,0298;0,52;0;0,268;0,453;102,053
Savage Garden;Crash and Burn;0,581;0,607;4;-8,458;1;0,028;0,189;1,60E-06;0,0882;0,213;102,03
Westlife;My Love;0,491;0,593;0;-5,975;1;0,0255;0,098;0;0,257;0,328;144,142
All Saints;Pure Shores;0,631;0,664;6;-9,197;1;0,0242;0,0498;0,00042;0,0696;0,407;100,618
Destiny's Child;Independent Women, Pt. 1;0,73;0,602;6;-3,782;0;0,206;0,362;3,69E-06;0,169;0,927;97,954
*NSYNC;It's Gonna Be Me;0,644;0,874;0;-4,666;0;0,0801;0,0459;2,24E-06;0,0584;0,882;165,09
Erykah Badu;Bag Lady;0,724;0,416;5;-8,964;0;0,0841;0,365;0;0,0969;0,578;151,181
Marc Anthony;You Sang To Me;0,578;0,894;10;-5,42;1;0,0296;0,0103;2,66E-06;0,216;0,741;165,98
Matchbox Twenty;Bent;0,518;0,83;6;-6,814;0;0,0386;0,0404;3,85E-06;0,375;0,527;95,468
Gabrielle;Rise;0,558;0,481;8;-9,487;1;0,026;0,315;8,83E-06;0,09;0,631;144,673
Backstreet Boys;Shape of My Heart;0,575;0,786;9;-4,353;1;0,0296;0,252;0;0,159;0,518;96,102
Creed;With Arms Wide Open;0,41;0,539;0;-8,412;1;0,0302;0,00425;0,00089;0,117;0,141;138,852
The Corrs;Breathless;0,607;0,82;11;-7,754;1;0,0597;0,0541;6,80E-05;0,269;0,768;126,988
Joe;I Wanna Know;0,725;0,487;8;-5,959;0;0,0368;0,26;1,09E-05;0,431;0,599;136,086
Wheatus;Teenage Dirtbag;0,625;0,85;4;-3,904;1;0,0495;0,346;0,000233;0,174;0,633;94,661
Christina Aguilera;Come on over Baby (All I Want Is You) - Radio Version;0,829;0,915;8;-3,205;1;0,106;0,226;1,25E-05;0,246;0,779;118,903
Creed;Higher;0,459;0,83;2;-6,254;1;0,0364;5,15E-05;0,00014;0,206;0,431;155,827
Britney Spears;Lucky;0,765;0,791;8;-5,707;1;0,0317;0,262;0,000154;0,0669;0,966;95,026
Nelly;Country Grammar (Hot Shit);0,865;0,664;2;-6,822;1;0,108;0,00689;0;0,142;0,565;162,831
Shaggy;It Wasn't Me;0,853;0,606;0;-4,596;1;0,0713;0,0561;0;0,313;0,654;94,759
Destiny's Child;Survivor;0,514;0,911;1;-2,027;0;0,41;0,0559;0;0,775;0,619;161,109
Eminem;Stan;0,78;0,768;6;-4,325;0;0,238;0,0371;2,34E-06;0,518;0,507;80,063
Kylie Minogue;Can't Get You out of My Head;0,766;0,563;9;-7,516;0;0,0339;0,0263;0,683;0,115;0,964;126,007
Christina Aguilera;"Lady Marmalade - From ""Moulin Rouge"" Soundtrack";0,76;0,801;5;-3,769;1;0,0534;0,0144;1,49E-05;0,665;0,653;109,919
Nelly Furtado;I'm Like A Bird;0,622;0,608;10;-5,085;1;0,036;0,138;5,38E-06;0,273;0,607;89,661
Shakira;Whenever, Wherever;0,794;0,832;1;-4,862;0;0,0407;0,237;1,14E-05;0,203;0,871;107,657
Jimmy Eat World;The Middle;0,643;0,849;2;-5,428;1;0,0526;0,0371;0;0,058;0,903;162,152
Train;Drops of Jupiter (Tell Me);0,481;0,638;0;-5,862;1;0,0276;0,153;0;0,154;0,497;79,064
Geri Halliwell;It's Raining Men;0,637;0,929;5;-6,03;0;0,0447;0,063;0,00796;0,318;0,604;136,482
